Date,ihsg
2022-12-15,6751.85986328125
2022-12-16,6812.19287109375
2022-12-19,6779.6982421875
2022-12-20,6768.31591796875
2022-12-21,6820.6630859375
2022-12-22,6824.43212890625
2022-12-23,6800.6728515625
2022-12-26,6835.80810546875
2022-12-27,6923.02685546875
2022-12-28,6850.52001953125
2022-12-29,6860.0771484375
2022-12-30,6850.619140625
2023-01-02,6850.98388671875
2023-01-03,6888.7578125
2023-01-04,6813.23876953125
2023-01-05,6653.8408203125
2023-01-06,6684.55810546875
2023-01-09,6688.26513671875
2023-01-10,6622.4990234375
2023-01-11,6584.453125
2023-01-12,6629.93408203125
2023-01-13,6641.830078125
2023-01-16,6688.05712890625
2023-01-17,6767.33984375
2023-01-18,6765.7861328125
2023-01-19,6819.9072265625
2023-01-20,6874.93115234375
2023-01-24,6860.85400390625
2023-01-25,6829.93017578125
2023-01-26,6864.81787109375
2023-01-27,6898.98095703125
2023-01-30,6872.48095703125
2023-01-31,6839.341796875
2023-02-01,6862.2578125
2023-02-02,6890.57177734375
2023-02-03,6911.73193359375
2023-02-06,6873.791015625
2023-02-07,6935.30078125
2023-02-08,6940.1240234375
2023-02-09,6897.365234375
2023-02-10,6880.3291015625
2023-02-13,6900.14013671875
2023-02-14,6941.85498046875
2023-02-15,6914.5380859375
2023-02-16,6895.6640625
2023-02-17,6895.7138671875
2023-02-20,6894.716796875
2023-02-21,6873.40478515625
2023-02-22,6809.9677734375
2023-02-23,6839.4541015625
2023-02-24,6856.576171875
2023-02-27,6854.77685546875
2023-02-28,6843.23876953125
2023-03-01,6844.93603515625
2023-03-02,6857.4150390625
2023-03-03,6813.63623046875
2023-03-06,6807.0009765625
2023-03-07,6766.7578125
2023-03-08,6776.3701171875
2023-03-09,6799.794921875
2023-03-10,6765.3017578125
2023-03-13,6786.955078125
2023-03-14,6641.81396484375
2023-03-15,6628.13720703125
2023-03-16,6565.72802734375
2023-03-17,6678.23681640625
2023-03-20,6612.490234375
2023-03-21,6691.61083984375
2023-03-24,6762.25390625
2023-03-27,6708.93310546875
